"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
1870, 9.963561887773031e-03, -1.377287916961433e+01, 5.882438566744889e-01, -3.665327879785791e-01, -5.438306315616934e-05, 8.321870529867161e-01, -5.301368630228609e-02
1869, 1.644055346421444e-02, -1.357784830997936e+01, 5.755980022788850e-01, -3.732949434374813e-01, -5.206812397362092e-05, 8.439566727036734e-01, -5.003470933347010e-02
1867, 1.838663263891696e-02, -1.332588965057272e+01, 5.625291146805905e-01, -3.803364194768586e-01, -4.919764443729855e-05, 8.553672813929958e-01, -4.702664496024296e-02
1866, 2.151817171309820e-02, -1.310809258835738e+01, 5.521715491447493e-01, -3.869754140235232e-01, -4.628112775809520e-05, 8.663810816600793e-01, -4.401355941088055e-02
1865, 2.243187454009256e-02, -1.286575647341950e+01, 5.416188909777806e-01, -3.935922418305270e-01, -4.306470286740923e-05, 8.770202903501004e-01, -4.100254383143337e-02
1862, 2.213150156079643e-02, -1.260653189197514e+01, 5.309665263203133e-01, -4.000443953034890e-01, -4.016342132268266e-05, 8.872672295746256e-01, -3.801052939446069e-02
1861, 2.279123900418319e-02, -1.234506057319788e+01, 5.208052066653359e-01, -4.068398776450091e-01, -3.708863815838029e-05, 8.971042476804670e-01, -3.505407422135164e-02
1739, 2.278518550097322e-02, -1.207262014315591e+01, 5.104949366768746e-01, -4.134374522681497e-01, -3.429675721022223e-05, 9.065337092413835e-01, -3.214327572878910e-02
1738, 2.557620760628499e-02, -1.180854510859018e+01, 5.008116405878983e-01, -4.201965943546713e-01, -3.115556310368655e-05, 9.155475464014634e-01, -2.928961873215790e-02
1618, 2.683842804653216e-02, -1.153318416659797e+01, 4.907635158854438e-01, -4.267586004432215e-01, -2.801380147951380e-05, 9.241277825024581e-01, -2.650828485947555e-02
1617, 3.053340833284050e-02, -1.126841118549252e+01, 4.811130187449539e-01, -4.332208140666115e-01, -2.445740114343821e-05, 9.322861238029431e-01, -2.380694889497404e-02
1538, 3.266371066985227e-02, -1.099304583938117e+01, 4.707499669723890e-01, -4.392201102777242e-01, -2.081182536880515e-05, 9.399950942287938e-01, -2.120783159540396e-02
1537, 3.759700168879015e-02, -1.073222997970715e+01, 4.604926827209032e-01, -4.449572572333633e-01, -1.668426458623414e-05, 9.472666673770933e-01, -1.872028222515489e-02
1419, 4.076308288883755e-02, -1.046771373667659e+01, 4.493051438723578e-01, -4.502082820570673e-01, -1.232091165086442e-05, 9.540933139134353e-01, -1.635863276636491e-02
1301, 4.664272733481005e-02, -1.023187617245053e+01, 4.381169471925269e-01, -4.551508598466865e-01, -7.438595783198010e-06, 9.604691403531374e-01, -1.413749210704528e-02
1300, 5.281113471291103e-02, -1.001959685829569e+01, 4.262455746460432e-01, -4.597813307349038e-01, -2.130799614160646e-06, 9.663887694175468e-01, -1.206776316272820e-02
1196, 6.248777773045956e-02, -9.862023619481942e+00, 4.143067790691258e-01, -4.647630574784722e-01, 4.069557236650738e-06, 9.718554596003331e-01, -1.015036332929556e-02
1059, 7.382688476411615e-02, -9.770901138585172e+00, 4.015192452456681e-01, -4.702709022745915e-01, 1.129145647527710e-05, 9.768521630321518e-01, -8.389256903003421e-03
915, 9.009777775108990e-02, -9.800304973938738e+00, 3.878446421308553e-01, -4.767712223933944e-01, 2.024369597053380e-05, 9.814000232833900e-01, -6.774377972126728e-03
767, 1.125099009700178e-01, -1.003478908220300e+01, 3.725080074591458e-01, -4.840586707578440e-01, 3.117407199614573e-05, 9.854707918496221e-01, -5.315262483965686e-03
